	transcript	start	end	role	BC	folder	each_role	index
0	음 50분 상담인데	0.141	2.64	counselor	1	1	['cs', 'cs', 'cs']	0
1	네	0.141	2.911	client	0	1	['cs', 'cs', 'cs', 'ct']	1
2	조금 이야기를 해주시면 어떨까요 먼저	18.752	21.872	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	2
3	음 어 우선 설렘이라고 하면은	22.02	28.02	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	3
4	게 사람들마다 다 있을 텐데	32.94	34.42	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	5
5	아님 정신과도 가고 뭐 이런	37.379	38.859	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	7
6	걸 한다고 하는데	38.779	40.139	client	1	1	['ct', 'cs', 'ct', 'ct', 'ct']	9
7	그거에 대한 반쯤 불신도 있었고	41.343	44.783	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	11
8	음	41.503	45.14	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	12
9	해서 나아질 수 있을까 하는	45.343	46.703	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	13
10	것들도 있었는데	46.103	47.783	client	1	1	['ct', 'ct', 'cs', 'ct', 'ct']	15
11	좋아진 사람들도 되게 많다고 해서	48.359	51.399	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	17
12	좀 설렘이 있었던 것 같아요	53.519	54.919	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	19
13	어떤 부분이 걱정이 좀 염려스러웠을까요	57.787	60.147	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	20
14	같은 맥락으로 좀	58.787	62.191	client	2	1	['cs', 'cs', 'ct', 'ct', 'ct']	21
15	음	58.987	62.125	counselor	0	1	['cs', 'ct', 'ct', 'ct', 'cs']	22
16	결국 나한테 바뀌는 게 없네	63.351	65.391	client	3	1	['ct', 'ct', 'ct', 'ct', 'ct']	23
17	말하던가	64.111	66.831	client	1	1	['ct', 'ct', 'ct', 'cs', 'ct']	25
18	또 걱정이 되는 것 같아요	68.351	70.071	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	27
19	있어서 간접 경험은 좀 있으시네요	77.483	79.963	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	28
20	많지는 않은데 조금은	79.043	82.374	client	2	1	['cs', 'cs', 'ct', 'ct', 'ct']	29
21	있습니다	80.854	82.534	client	0	1	['ct', 'ct', 'ct', 'cs', 'ct']	31
22	나눠보시고 싶으실까요 음 그 신청서에는	88.381	94.492	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	32
23	네	89.141	93.147	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	33
24	그 부분을 좀 이야기를 하셨는데	96.332	98.652	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	34
25	이야기를 나눠주시면 좋을 것 같아요	100.132	101.972	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	36
26	음 그 뭔가 무기력감 불안감보다는	101.816	109.216	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	37
27	음	102.936	109.037	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	38
28	환경이 되게 힘들고 뭐 하더라도	113.016	116.896	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	39
29	가까운 사람을 통해서 조금 편하고	117.296	120.136	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	41
30	힘을 얻고 이래야 되는데	119.992	121.696	client	1	1	['cs', 'ct', 'ct', 'ct', 'ct']	43
31	오히려 더 불편한 것 같아요	123.988	125.748	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	45
32	거기 사례에도 좀 적어놓기는 했는데	129.318	132.278	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	47
33	있다가도 이제 흡연을 하다 보니까	132.998	135.678	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	49
34	때가 훨씬 혼자 더 편하고	137.198	139.278	client	3	1	['ct', 'ct', 'ct', 'ct', 'ct']	51
35	허	137.718	140.231	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	52
36	게 편해서 거실에 거의 없거든요	144.227	146.947	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	53
37	네	145.107	147.806	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	54
38	그런 것들도 그렇고	146.627	150.616	client	1	1	['ct', 'cs', 'ct', 'ct', 'ct']	55
39	여자친구랑도 한 7년 정도 만났는데	150.616	155.416	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	57
40	있을 때가 더 심적으로 편하고	156.336	158.576	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	59
41	어떤 사회적 동물이라는 관점 하에	161.696	164.256	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	61
42	음	161.896	165.106	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	62
43	있을 때 되게 좋아야 되는데	166.046	168.046	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	63
44	음	166.206	168.635	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	64
45	오히려 그러지 못해가지고 좀 외롭고	168.046	171.326	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	65
46	음	168.566	171.722	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	66
47	무기력함이 좀 나오는 것 같아요	171.806	174.366	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	67
48	좋은 대상들 친밀한 대상들이어야 하는데	175.853	179.373	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	68
49	우진님은 좀 편안함을 느끼고 계시네요	184.693	187.013	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	70
50	좀 거짓말들도 많아지는 것 같아요	187.894	190.134	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	71
51	어	188.374	191.054	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	72
52	부모님한테 거짓말하는 거	189.814	192.414	client	2	1	['ct', 'cs', 'ct', 'ct', 'ct']	73
53	음	189.994	192.931	counselor	0	1	['cs', 'ct', 'ct', 'ct', 'cs']	74
54	저한테 거짓말하는 거	191.534	194.494	client	1	1	['ct', 'cs', 'ct', 'ct', 'ct']	75
55	음	191.991	194.566	counselor	0	1	['cs', 'ct', 'ct', 'ct', 'cs']	76
56	이기적으로 행동하는 것들도 있는데 아무래도	195.374	198.014	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	77
57	거짓말이 되게 유쾌하진 않잖아요	197.6	199.654	client	3	1	['cs', 'ct', 'ct', 'ct', 'ct']	79
58	그렇죠	198.014	200.498	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	80
59	다시 매너리즘에 빠지는 것 같아요	203.914	207.034	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	81
60	반복이 되면은 어 조금 어려우시죠	217.958	222.438	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	82
61	네 맞아요	219.358	223.071	client	0	1	['cs', 'cs', 'cs', 'ct', 'ct']	83
62	네 그렇죠	221.238	225.387	counselor	1	1	['cs', 'ct', 'ct', 'cs', 'cs']	84
